description,units,source key,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Russia : steam coal,$/short ton,COAL.IMPORT_PRICE.STM-RU-TOT.A,32.86,38.1,54.06,79.1,54.7,52.79,55.16,207.11,--,--,2620,174
Russia : metallurgical,$/short ton,COAL.IMPORT_PRICE.MET-RU-TOT.A,--,--,--,--,--,--,--,--,--,--,75,--
Russia : coke,$/short ton,COAL.IMPORT_PRICE.COK-RU-TOT.A,--,--,--,260.72,269.85,298.13,--,--,--,87.25,330.67,--
Somalia,,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
Somalia : all coal,$/short ton,COAL.IMPORT_PRICE.TOT-SO-TOT.A,164.38,--,--,--,--,--,--,--,--,--,--,--
Somalia : steam coal,$/short ton,COAL.IMPORT_PRICE.STM-SO-TOT.A,164.38,--,--,--,--,--,--,--,--,--,--,--
South Africa,,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
South Africa : all coal,$/short ton,COAL.IMPORT_PRICE.TOT-ZA-TOT.A,32.67,32.36,38.36,94.74,42.89,51.8,--,97.78,--,--,64.55,--
South Africa : steam coal,$/short ton,COAL.IMPORT_PRICE.STM-ZA-TOT.A,32.67,32.36,38.36,94.74,42.89,51.8,--,97.78,--,--,64.55,--
South Africa : coke,$/short ton,COAL.IMPORT_PRICE.COK-ZA-TOT.A,--,--,--,--,1114.06,--,--,--,--,--,--,--
South Korea (Republic Of Korea),,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
South Korea (Republic Of Korea) : all coal,$/short ton,COAL.IMPORT_PRICE.TOT-KR-TOT.A,--,--,--,--,--,--,--,569.38,568.72,618.39,747.38,--
South Korea (Republic Of Korea) : steam coal,$/short ton,COAL.IMPORT_PRICE.STM-KR-TOT.A,--,--,--,--,--,--,--,569.38,568.72,618.39,747.38,--
Spain,,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
Spain : coke,$/short ton,COAL.IMPORT_PRICE.COK-ES-TOT.A,--,97.07,--,--,--,--,223.89,--,--,575.4,--,--
Switzerland,,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
Switzerland : coke,$/short ton,COAL.IMPORT_PRICE.COK-CH-TOT.A,--,--,--,--,239.82,--,--,--,--,--,496.68,--
Syria (Syrian Arab Republic),,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
Syria (Syrian Arab Republic) : all coal,$/short ton,COAL.IMPORT_PRICE.TOT-SY-TOT.A,--,--,6542,75.3,--,75.03,--,525,--,951.33,--,--
Syria (Syrian Arab Republic) : steam coal,$/short ton,COAL.IMPORT_PRICE.STM-SY-TOT.A,--,--,6542,75.3,--,75.03,--,525,--,951.33,--,--
Syria (Syrian Arab Republic) : coke,$/short ton,COAL.IMPORT_PRICE.COK-SY-TOT.A,--,--,--,--,498.2,8052,6207,2865.5,6340,3594.25,5400,9546
Taiwan,,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
Taiwan : all coal,$/short ton,COAL.IMPORT_PRICE.TOT-TW-TOT.A,1224,--,--,--,--,--,--,--,--,--,--,--
Taiwan : steam coal,$/short ton,COAL.IMPORT_PRICE.STM-TW-TOT.A,1224,--,--,--,--,--,--,--,--,--,--,--
Thailand,,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
Thailand : coke,$/short ton,COAL.IMPORT_PRICE.COK-TH-TOT.A,--,--,--,--,--,--,--,--,1181.67,1350,--,--
Trinidad And Tobago,,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
Trinidad And Tobago : all coal,$/short ton,COAL.IMPORT_PRICE.TOT-TT-TOT.A,--,172.3,--,--,--,--,--,--,--,--,--,--
Trinidad And Tobago : steam coal,$/short ton,COAL.IMPORT_PRICE.STM-TT-TOT.A,--,172.3,--,--,--,--,--,--,--,--,--,--
Turkey,,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
Turkey : all coal,$/short ton,COAL.IMPORT_PRICE.TOT-TR-TOT.A,--,--,--,21.42,--,--,--,--,--,--,68.88,--
Turkey : steam coal,$/short ton,COAL.IMPORT_PRICE.STM-TR-TOT.A,--,--,--,21.42,--,--,--,--,--,--,68.88,--
Turkey : coke,$/short ton,COAL.IMPORT_PRICE.COK-TR-TOT.A,--,--,--,--,--,--,--,--,--,--,--,--
Ukraine,,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
Ukraine : all coal,$/short ton,COAL.IMPORT_PRICE.TOT-UA-TOT.A,--,--,--,47.91,58.19,--,130.02,147.19,81.65,130.18,141.31,133.15
Ukraine : steam coal,$/short ton,COAL.IMPORT_PRICE.STM-UA-TOT.A,--,--,--,73.68,58.19,--,130.02,147.19,81.65,130.18,141.31,133.15
Ukraine : metallurgical,$/short ton,COAL.IMPORT_PRICE.MET-UA-TOT.A,--,--,--,38.47,--,--,--,--,--,--,--,--
Ukraine : coke,$/short ton,COAL.IMPORT_PRICE.COK-UA-TOT.A,--,--,--,244.69,211,--,--,384.37,--,308.44,427.85,361.47
United Arab Emirates,,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
United Arab Emirates : all coal,$/short ton,COAL.IMPORT_PRICE.TOT-AE-TOT.A,--,--,--,--,--,--,--,--,--,--,--,--
United Arab Emirates : steam coal,$/short ton,COAL.IMPORT_PRICE.STM-AE-TOT.A,--,--,--,--,--,--,--,--,--,--,--,--
United Arab Emirates : coke,$/short ton,COAL.IMPORT_PRICE.COK-AE-TOT.A,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
United Kingdom : all coal,$/short ton,COAL.IMPORT_PRICE.TOT-GB-TOT.A,43.83,81.01,112.44,46.2,77.54,75.94,77.11,--,743.67,85.04,--,792
United Kingdom : steam coal,$/short ton,COAL.IMPORT_PRICE.STM-GB-TOT.A,43.83,81.01,112.44,46.2,77.54,75.94,77.11,--,743.67,85.04,--,792
United Kingdom : coke,$/short ton,COAL.IMPORT_PRICE.COK-GB-TOT.A,--,--,--,--,--,--,3831,1021,280.84,--,408.48,384.92
Venezuela,,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
Venezuela : all coal,$/short ton,COAL.IMPORT_PRICE.TOT-VE-TOT.A,37.53,38.92,33.79,40.24,46.46,54.7,54.7,75.96,82.38,72.75,83.22,109.51
Venezuela : steam coal,$/short ton,COAL.IMPORT_PRICE.STM-VE-TOT.A,37.53,38.92,33.79,40.24,46.46,54.7,54.7,75.96,82.38,72.75,77.02,76.36
Venezuela : metallurgical,$/short ton,COAL.IMPORT_PRICE.MET-VE-TOT.A,--,--,--,--,--,--,--,--,--,--,126.63,138.05
Venezuela : coke,$/short ton,COAL.IMPORT_PRICE.COK-VE-TOT.A,--,--,--,--,--,281.81,260.36,--,--,247.66,--,--
Vietnam,,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
Vietnam : all coal,$/short ton,COAL.IMPORT_PRICE.TOT-VN-TOT.A,--,--,--,--,35.4,--,--,--,--,--,--,--
Vietnam : steam coal,$/short ton,COAL.IMPORT_PRICE.STM-VN-TOT.A,--,--,--,--,35.4,--,--,--,--,--,--,--
Total U.S.,,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
Total U.S. : all coal,$/short ton,COAL.IMPORT_PRICE.TOT-TOT-TOT.A,34,35.51,31.45,37.52,46.71,49.1,47.64,59.83,63.91,71.77,103.32,96.78
Total U.S. : steam coal,$/short ton,COAL.IMPORT_PRICE.STM-TOT-TOT.A,32.53,33.93,30.24,36.06,43.35,46.15,45.31,56.75,61.4,62.47,81.11,84.27
Total U.S. : metallurgical,$/short ton,COAL.IMPORT_PRICE.MET-TOT-TOT.A,45.21,44.9,47.83,54.27,101.31,109.36,96.05,117.18,115.93,180.42,263.48,186.63
Total U.S. : coke,$/short ton,COAL.IMPORT_PRICE.COK-TOT-TOT.A,75.48,75.35,86.52,179.24,221.13,156.44,194.49,465.15,268.37,331.7,389.5,338.16
"Baltimore, MD",,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
"Baltimore, MD : all coal",$/short ton,COAL.IMPORT_PRICE.TOT-TOT-BA_MD.A,47.7,45.34,36.02,56.54,51.6,54.23,28.14,54.5,43.91,55.97,108.03,138.05
"Baltimore, MD : steam coal",$/short ton,COAL.IMPORT_PRICE.STM-TOT-BA_MD.A,47.7,47.26,37.03,60.11,50.27,53.74,28.14,54.5,43.91,55.97,82.68,--
"Baltimore, MD : metallurgical",$/short ton,COAL.IMPORT_PRICE.MET-TOT-BA_MD.A,--,39.34,33.57,46.91,56.15,59,--,--,--,--,126.63,138.05
"Baltimore, MD : coke",$/short ton,COAL.IMPORT_PRICE.COK-TOT-BA_MD.A,76.35,89.44,93.66,129.59,217.46,159.48,208.66,464.86,--,323.52,452.26,350.91
"Boston, MA",,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
"Boston, MA : all coal",$/short ton,COAL.IMPORT_PRICE.TOT-TOT-BO_MA.A,34.26,33.47,27.06,29.55,41.3,40.49,38.17,40.95,55.87,50.05,59.25,56.84
"Boston, MA : steam coal",$/short ton,COAL.IMPORT_PRICE.STM-TOT-BO_MA.A,34.26,33.47,27.06,29.55,41.3,40.49,38.17,40.95,55.87,50.05,59.25,56.84
"Buffalo, NY",,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
"Buffalo, NY : all coal",$/short ton,COAL.IMPORT_PRICE.TOT-TOT-BU_NY.A,--,--,4230,267.14,120.04,116.76,103.53,259.28,226.93,163.22,105.21,284.84
"Buffalo, NY : steam coal",$/short ton,COAL.IMPORT_PRICE.STM-TOT-BU_NY.A,--,--,4230,267.14,38.51,74.57,119.33,205.71,--,298.08,105.21,284.84
"Buffalo, NY : metallurgical",$/short ton,COAL.IMPORT_PRICE.MET-TOT-BU_NY.A,--,--,--,--,120.82,116.96,103.53,259.37,226.93,163.19,--,--
"Buffalo, NY : coke",$/short ton,COAL.IMPORT_PRICE.COK-TOT-BU_NY.A,93.21,92.12,131.21,101.88,130.13,159.79,138.89,156.78,171.09,171.96,217.96,220.7
"Charleston, SC",,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
